,Title,Price,Old Price,Discount Price,Year,Mileage,Fuel,Engine Volume,Car Class,Engine Power
180,Smart Roadster  (može zamena),3400 €,,,2003,150.000,Benzin,699,Kabriolet/Roadster,60kW(82KS)
181,Smart ForTwo,1400 €,,,2001,201.000,Benzin,600,Kupe,40kW(54KS)
182,Smart ForTwo Pure (može zamena),2700 €,,,2006,160.000,Benzin,700,Kupe,43kW(58KS)
183,Smart ForTwo  (može zamena),4200 €,,,2010,78.000,Benzin,1000,Hečbek,44kW(60KS)
184,Smart ForTwo  (može zamena),2800 €,,,2009,150.000,Benzin,999,Limuzina,45kW(61KS)
185,Smart ForTwo nov,1950 €,,,2007,61.000,Benzin,698,Kupe,45kW(61KS)
186,Smart ForTwo,2400 €,,,2005,140.000,Benzin,700,Hečbek,30kW(41KS)
187,Smart ForTwo  (može zamena),4250 €,,,2011,150.200,Benzin,999,Hečbek,52kW(71KS)
188,Smart ForFour 1.0 LUTKICA,3150 €,,,2008,140.000,Benzin,998,Hečbek,45kW(61KS)
189,Smart ForTwo,4450 €,,,2010,115.000,Dizel,800,Hečbek,33kW(45KS)
190,Smart ForTwo,2500 €,,,2006,116.250,Dizel,800,Kupe,33kW(45KS)
191,Smart ForTwo,1500 €,,,2002,144.000,Benzin,698,Kupe,33kW(45KS)
192,Smart ForTwo Kabrio (može zamena),2150 €,,,2001,1.262.060,Benzin,600,Kabriolet/Roadster,40kW(54KS)
193,Smart ForTwo  (može zamena),2000 €,,,2002,230.000,Dizel,800,Kabriolet/Roadster,33kW(45KS)
194,Smart ForTwo COUPE CDI (može zamena),2900 €,,,2005,119.937,Dizel,799,Kupe,30kW(41KS)
195,Smart ForTwo  (može zamena),1850 €,,,2003,115.000,Benzin,698,Kabriolet/Roadster,45kW(61KS)
196,Smart ForTwo cdi,5000 €,,,2008,165.000,Dizel,799,Kabriolet/Roadster,33kW(45KS)
197,Smart ForTwo 600 (može zamena),1500 €,,,2001,134.000,Benzin,600,Kupe,40kW(54KS)
198,Smart ForFour,2500 €,,,2005,101.473,Benzin,1124,Limuzina,55kW(75KS)
199,Smart ForTwo 0.7,1850 €,,,2006,159.124,Benzin,698,Hečbek,45kW(61KS)
200,Smart ForFour 1.1,1999 €,,,2005,235.000,Benzin+Gas(TNG),1100,Hečbek,55kW(75KS)
201,Smart ForTwo 1.0 i Nav Aut,5490 €,,,2014,132.000,Benzin,999,Kupe,45kW(61KS)
202,Smart ForTwo vise komada,1750 €,,,2007,51.000,Benzin,698,Kupe,45kW(61KS)
203,Smart ForTwo  (može zamena),4400 €,,,2008,150.000,Benzin,999,Kabriolet/Roadster,62kW(84KS)
204,Smart ForTwo 0.7T N.O.V. (može zamena),2199 €,,,2006,84.100,Benzin,699,Kupe,46kW(63KS)
205,Smart ForTwo,2700 €,,,2002,130.000,Benzin,599,Kabriolet/Roadster,54kW(73KS)
206,Smart ForTwo 2 (može zamena),2000 €,,,2005,230.000,Dizel,800,Kupe,30kW(41KS)
207,Smart ForTwo,1750 €,,,2002,163.000,Benzin,599,Kupe,40kW(54KS)
208,Smart ForTwo 1.0 Passion oprema,4500,4500,4100 €,2010,129.420,Benzin,999,Kupe,52kW(71KS)
209,Smart ForTwo 1.0 mhd Passion (može zamena),3999,3999,3700 €,2007,122.076,Benzin,999,Kabriolet/Roadster,52kW(71KS)
210,Smart ForTwo CH  POKLON PROBE,1990 €,,,2004,137.676,Benzin,700,Hečbek,45kW(61KS)
211,Smart ForTwo,4100 €,,,2008,137.250,Benzin,999,Kupe,45kW(61KS)
212,Smart ForTwo  (može zamena),1750 €,,,2003,180.000,Benzin,698,Kabriolet/Roadster,45kW(61KS)
213,Smart ForTwo 1.0 PASSION,3499 €,,,2009,118.000,Benzin,998,Kupe,52kW(71KS)
214,Smart ForTwo  (može zamena),2200 €,,,2005,155.096,Benzin,698,Kabriolet/Roadster,45kW(61KS)
215,Smart ForTwo turbo,4200 €,,,2007,137.000,Benzin,997,Kupe,61kW(83KS)
216,Smart ForTwo 0.6,1799 €,,,2002,174.000,Benzin,599,Kupe,45kW(61KS)
217,Smart ForTwo,2300 €,,,2001,200.000,Dizel,799,Kupe,40kW(54KS)
218,Smart ForTwo,3950 €,,,2010,77.000,Benzin,999,Hečbek,52kW(71KS)
219,Smart ForTwo 800cdi (može zamena),2950 €,,,2008,153.616,Dizel,799,Kupe,33kW(45KS)
220,Smart ForTwo  (može zamena),1750 €,,,2002,102.753,Benzin,599,Kupe,40kW(54KS)
221,Smart ForTwo 0.6 (može zamena),1550 €,,,2003,199.000,Benzin,600,Kupe,33kW(45KS)
222,Smart ForTwo 800 cdi,2200 €,,,2003,167.000,Dizel,800,Hečbek,33kW(45KS)
223,Smart ForTwo Turbo,4700,4700,3700 €,2008,100.000,Benzin,998,Kupe,61kW(83KS)
224,Smart ForTwo MHD,3550 €,,,2008,93.854,Benzin,999,Kupe,52kW(71KS)
225,Smart ForTwo 0.8 CDI,2600 €,,,2005,137.677,Dizel,799,Kupe,30kW(41KS)
226,Smart ForTwo,4000 €,,,2008,111.000,Benzin,999,Kupe,52kW(71KS)
227,Smart ForTwo 450 (može zamena),1300 €,,,2001,148.000,Benzin,600,Kabriolet/Roadster,45kW(61KS)
228,Smart ForTwo  (može zamena),2350 €,,,2004,156.000,Benzin,698,Kupe,45kW(61KS)
229,Smart ForTwo CDI,5390,5390,4999 €,2010,157.000,Dizel,800,Kupe,40kW(54KS)
230,Smart ForTwo 0.8 CDI,2100 €,,,2002,215.000,Dizel,800,Hečbek,30kW(41KS)
231,Smart ForTwo Coupe MHD,5290 €,,,2013,86.027,Benzin,999,Kupe,45kW(61KS)
232,Smart ForTwo,2000 €,,,2002,130.000,Benzin,600,Kupe,40kW(54KS)
233,Smart ForTwo  (može zamena),1650 €,,,2001,161.800,Benzin,600,Kupe,39kW(53KS)
234,Smart ForTwo 12344,Po dogovoru,,,2002,12.000,Benzin,600,Limuzina,44kW(60KS)
235,Smart ForTwo,2500 €,,,2006,178.632,Dizel,799,Kupe,30kW(41KS)
236,Smart ForFour 1.1,1950 €,,,2004,137.447,Benzin,1124,Hečbek,55kW(75KS)
237,Smart ForTwo MHD,4200 €,,,2010,134.000,Benzin,999,Kupe,52kW(71KS)
238,Smart ForTwo,3400 €,,,2008,172.000,Dizel,800,Kupe,33kW(45KS)
239,Smart ForTwo,1250 €,,,2002,199.985,Benzin,599,Kupe,44kW(60KS)
240,Smart ForTwo,1999 €,,,2002,155.000,Benzin,599,Hečbek,40kW(54KS)
241,Smart ForTwo,2500 €,,,2006,140.000,Benzin,700,Kupe,44kW(60KS)
242,Smart ForTwo,4500 €,,,2010,121.200,Dizel,799,Kabriolet/Roadster,40kW(54KS)
243,Smart ForFour cdi,2500 €,,,2006,185.000,Dizel,1499,Hečbek,50kW(68KS)
244,Smart ForTwo  (može zamena),1700 €,,,2003,111.100,Benzin,600,Kupe,45kW(61KS)
245,Smart ForTwo  (može zamena),1750 €,,,2002,162.990,Benzin,600,Kabriolet/Roadster,45kW(61KS)
246,Smart ForTwo Cabrio Brabus oprema,1900 €,,,2002,150.000,Benzin,599,Kabriolet/Roadster,40kW(54KS)
247,"Smart ForTwo 0,6 TURBO (može zamena)",1450 €,,,2002,190.000,Benzin,600,Limuzina,44kW(60KS)
248,Smart ForFour PULSE,2650,2650,2200 €,2005,160.000,Benzin,1499,Hečbek,80kW(109KS)
249,Smart ForFour 1.0 Passion,7555 €,,,2016,59.000,Benzin,999,Hečbek,52kW(71KS)
250,Smart Roadster,1550 €,,,2002,141.536,Benzin,599,Kupe,40kW(54KS)
251,Smart ForTwo 700,1490 €,,,2003,177.300,Benzin,699,Kupe,37kW(50KS)
252,Smart ForTwo mhd,3950 €,,,2010,128.611,Benzin,999,Kupe,45kW(61KS)
253,Smart ForTwo,1600 €,,,2000,165.000,Benzin+Gas(TNG),600,Kupe,40kW(54KS)
254,Smart ForFour 1.5,1800 €,,,2004,288.866,Dizel,1499,Limuzina,70kW(95KS)
255,Smart ForTwo  (može zamena),1750 €,,,2002,170.000,Benzin,599,Kabriolet/Roadster,44kW(60KS)
256,Smart ForTwo mhd,4400 €,,,2009,34.480,Benzin,999,Kupe,52kW(71KS)
257,Smart ForTwo passion,2150 €,,,2005,223.600,Benzin,700,Limuzina,45kW(61KS)
258,Smart ForTwo 0.6,1650 €,,,2001,138.000,Benzin,600,Kabriolet/Roadster,40kW(54KS)
259,Smart ForFour 1.5cdi mercedes,2300 €,,,2005,256.000,Dizel,1493,Hečbek,70kW(95KS)
260,Smart ForTwo Pure,2299 €,,,2004,60.750,Benzin,698,Kupe,37kW(50KS)
261,Smart ForTwo  (može zamena),2590 €,,,2005,95.000,Dizel,800,Kupe,30kW(41KS)
262,Smart ForTwo Smart Pure,1500,1500,950 €,2000,191.000,Benzin,599,Hečbek,33kW(45KS)
263,Smart ForTwo CUPE,2350 €,,,2006,124.227,Benzin,698,Kupe,45kW(61KS)
264,Smart ForTwo 0.7,1990,1990,1890 €,2003,155.000,Benzin,698,Kupe,45kW(61KS)
265,Smart ForTwo BRABUS (može zamena),19000,19000,16000 €,2017,27.000,Benzin,999,Kabriolet/Roadster,90kW(122KS)
266,Smart ForTwo 1.0,6700 €,,,2015,99.000,Benzin,999,Kupe,52kW(71KS)
267,Smart ForTwo CABRIO,2250 €,,,2003,136.612,Benzin,698,Kabriolet/Roadster,45kW(61KS)
268,Smart ForFour CDI,1400 €,,,2005,312.500,Dizel,1493,Hečbek,50kW(68KS)
269,Smart ForTwo 0.6 turbo,1900,1900,1700 €,2001,284.000,Benzin,599,Kupe,40kW(54KS)
270,Smart ForTwo CDI pulse,1950 €,,,2001,152.000,Dizel,799,Kupe,30kW(41KS)
271,Smart ForTwo CABRIO SERVO (može zamena),5695 €,,,2008,99.000,Dizel,800,Kabriolet/Roadster,33kW(45KS)
272,Smart ForFour,2099 €,,,2005,120.500,Benzin,1499,Limuzina,80kW(109KS)
273,Smart ForFour 1.5 cdi,2330 €,,,2004,290.000,Dizel,1493,Hečbek,69kW(94KS)
274,Smart ForTwo,1700 €,,,2002,172.099,Benzin,600,Kupe,45kW(61KS)
275,Smart ForFour 1.5 (može zamena),2999 €,,,2005,160.219,Benzin,1499,Hečbek,80kW(109KS)
276,Smart ForTwo 1.0 i Pano Aut,3990 €,,,2009,145.800,Benzin,999,Kupe,52kW(71KS)
277,Smart Roadster,3999 €,,,2003,109.000,Benzin,698,Kupe,60kW(82KS)
278,Smart ForFour 1.5 CDI,2300 €,,,2005,186.084,Dizel,1493,Hečbek,50kW(68KS)
279,Smart ForFour 1.5DCI U.VO.Z CH,2590 €,,,2006,163.748,Dizel,1493,Hečbek,50kW(68KS)
280,Smart ForTwo Cabrio,6250,6250,5750 €,2011,120.322,Dizel,799,Kabriolet/Roadster,40kW(54KS)
281,Smart ForTwo  (može zamena),4000 €,,,2008,80.000,Dizel,800,Kupe,33kW(45KS)
282,Smart ForTwo,2190 €,,,2002,134.700,Benzin,599,Kabriolet/Roadster,45kW(61KS)
283,Smart ForTwo Cabrio (može zamena),2499 €,,,2001,1.400.000,Benzin,600,Kabriolet/Roadster,44kW(60KS)
284,Smart ForFour 1.5 cdi,2500 €,,,2004,240.000,Dizel,1500,Hečbek,50kW(68KS)
285,Smart ForTwo,2350 €,,,2003,184.256,Dizel,799,Kupe,30kW(41KS)
286,Smart ForTwo 0.600 (može zamena),1350 €,,,2002,120.000,Benzin,600,Kupe,40kW(54KS)
287,Smart ForTwo 600 turbo kask o,2350 €,,,2002,10.000,Benzin,599,Kabriolet/Roadster,45kW(61KS)
288,Smart ForTwo coupe passion (može zamena),3900,3900,3700 €,2009,88.000,Dizel,799,Hečbek,33kW(45KS)
289,Smart ForTwo passion,2190,2190,1990 €,2004,101.147,Benzin,698,Kupe,45kW(61KS)
290,Smart ForTwo,1400 €,,,2001,109.576,Benzin,599,Hečbek,33kW(45KS)
291,Smart ForTwo,1700 €,,,2001,151.970,Benzin,599,Hečbek,33kW(45KS)
292,Smart ForTwo 1.0 mhd,3800 €,,,2007,176.000,Benzin,999,Kupe,45kW(61KS)
293,Smart ForTwo,2199 €,,,2002,89.000,Benzin,599,Kupe,40kW(54KS)
294,Smart ForTwo 700,2200,2200,2000 €,2004,145.000,Benzin,700,Kupe,45kW(61KS)
295,Smart ForTwo,6999 €,,,2015,52.000,Benzin,999,Limuzina,52kW(71KS)
296,Smart ForTwo mhd (može zamena),3350 €,,,2009,108.500,Benzin,999,Kupe,45kW(61KS)
297,Smart ForTwo CDI,4450,4450,3990 €,2007,99.000,Dizel,799,Kupe,33kW(45KS)
298,Smart ForTwo Pure 700 turbo (može zamena),2480 €,,,2006,152.000,Benzin,700,Hečbek,45kW(61KS)
299,Smart ForFour 1.5. PASSION (može zamena),2099 €,,,2004,230.000,Benzin,1496,Hečbek,80kW(109KS)
300,Smart Roadster 599 (može zamena),1500 €,,,2002,125.000,Benzin,599,Limuzina,36kW(49KS)
301,Smart ForTwo TURBO,1750 €,,,2003,170.000,Benzin,698,Kupe,37kW(50KS)
302,Smart ForFour,7800 €,,,2016,30.399,Benzin,999,Hečbek,52kW(71KS)
303,Smart ForTwo pasion (može zamena),2199 €,,,2003,170.000,Benzin,696,Kupe,31kW(42KS)
304,Smart ForTwo,4000 €,,,2011,100.000,Benzin,999,Kupe,52kW(71KS)
305,Smart ForTwo,1900 €,,,2004,137.000,Benzin,698,Kupe,37kW(50KS)
306,Smart ForTwo 700,1800 €,,,2005,104.500,Benzin,698,Kupe,45kW(61KS)
307,Smart ForTwo 700 (može zamena),1800 €,,,2005,166.000,Benzin,700,Kupe,37kW(50KS)
308,Smart ForTwo,2999 €,,,2007,123.000,Benzin,999,Kupe,45kW(61KS)
309,Smart ForTwo 700ccm,2500 €,,,2004,170.000,Benzin,698,Kupe,45kW(61KS)
310,Smart ForTwo 800 CDI (može zamena),2699 €,,,2005,207.000,Dizel,799,Kupe,33kW(45KS)
311,Smart ForFour,2200 €,,,2005,220.000,Benzin,1124,Limuzina,55kW(75KS)
312,Smart ForTwo Turbo Pulse,4000 €,,,2008,124.167,Benzin,998,Kupe,61kW(83KS)
313,Smart ForTwo 1.0 mhd,4500 €,,,2010,112.452,Benzin,999,Kupe,45kW(61KS)
314,Smart ForTwo Smart ForTwo,3690 €,,,2009,116.061,Dizel,799,Kupe,33kW(45KS)
315,Smart ForTwo,1100 €,,,2003,1.000,Benzin,600,Kupe,44kW(60KS)
316,Smart ForTwo,Po dogovoru,,,2002,133.500,Benzin,600,Kupe,44kW(60KS)
317,Smart ForTwo 1.0,6000 €,,,2015,117.000,Benzin,998,Kupe,52kW(71KS)
318,Smart ForTwo 0.6 turbo,1400 €,,,2002,136.000,Benzin,598,Kupe,33kW(45KS)
319,Smart ForTwo  (može zamena),3650 €,,,2007,127.000,Benzin,999,Kupe,62kW(84KS)
320,Smart ForFour 999,5450 €,,,2015,54.000,Benzin,999,Hečbek,52kW(71KS)
321,Smart ForTwo 1.0 Garaziran,8790,8790,7980 €,2017,16.250,Benzin,999,Kupe,45kW(61KS)
322,Smart ForTwo passion (može zamena),1899 €,,,2004,200.000,Benzin,698,Kupe,45kW(61KS)
323,Smart ForTwo,4200 €,,,2012,140.000,Benzin,999,Kupe,45kW(61KS)
324,Smart ForTwo cabrio TURBO,2390 €,,,2003,130.000,Benzin,700,Kabriolet/Roadster,45kW(61KS)
325,Smart ForTwo cdi (može zamena),1900 €,,,2001,201.252,Dizel,799,Kupe,30kW(41KS)
326,Smart ForTwo  (može zamena),1899 €,,,2003,128.000,Benzin,598,Kupe,35kW(48KS)
327,Smart ForTwo 0.9T cdi,6000,6000,5500 €,2013,71.568,Dizel,800,Kupe,40kW(54KS)
328,Smart ForFour 1.5 CDI,2200 €,,,2004,280.000,Dizel,1493,Hečbek,70kW(95KS)
329,Smart ForTwo Coupe,4500 €,,,2012,119.800,Benzin,999,Limuzina,52kW(71KS)
330,Smart ForTwo 600,2350 €,,,2006,180.000,Benzin,600,Kupe,37kW(50KS)
331,Smart ForTwo 700 TURBO (može zamena),2350 €,,,2003,153.000,Benzin,700,Kupe,45kW(61KS)
332,Smart ForTwo  (može zamena),Po dogovoru,,,2002,137.515,Benzin,599,Kupe,33kW(45KS)
333,Smart ForFour 1.5 dci (može zamena),3000 €,,,2006,297.000,Dizel,1500,Hečbek,70kW(95KS)
334,Smart ForTwo 1.0  Mhd F1,4690 €,,,2011,40.406,Benzin,999,Hečbek,52kW(71KS)
335,Smart ForTwo 0.7 pure turbo,2350 €,,,2005,120.000,Benzin,700,Hečbek,52kW(71KS)
336,Smart ForFour brabus look,2300 €,,,2004,217.000,Benzin,1125,Hečbek,55kW(75KS)
337,Smart ForTwo 0.8 CDI,2500 €,,,2006,162.000,Dizel,799,Kabriolet/Roadster,30kW(41KS)
338,Smart ForTwo Smart Fortwo Coupe (može zamena),7500 €,,,2017,43.000,Benzin,999,Kupe,52kW(71KS)
339,Smart ForTwo,3500 €,,,2008,130.000,Benzin,998,Kupe,52kW(71KS)
340,Smart ForTwo 1.0 kabrio,6790 €,,,2015,45.000,Benzin,999,Kabriolet/Roadster,52kW(71KS)
341,Smart ForTwo,1850 €,,,2001,206.480,Dizel,799,Kupe,30kW(41KS)
342,Smart ForTwo,4700,4700,4100 €,2010,84.000,Benzin,1000,Kupe,71kW(97KS)
343,"Smart ForFour 1,5 cdi",2800,2800,2600 €,2006,269.700,Dizel,1493,Limuzina,50kW(68KS)
344,Smart ForTwo,2450 €,,,2008,170.000,Benzin,998,Kupe,55kW(75KS)
345,Smart ForTwo,2950 €,,,2006,157.000,Benzin,698,Kupe,45kW(61KS)
346,Smart ForTwo,7300 €,,,2015,57.430,Benzin,57457,Kupe,52kW(71KS)
347,Smart ForTwo 0.8 d,2350 €,,,2003,140.000,Dizel,790,Kupe,30kW(41KS)
348,Smart ForTwo 0.6 (može zamena),1900 €,,,2002,210.315,Benzin,599,Kupe,45kW(61KS)
349,Smart ForTwo njicko,1900 €,,,2002,150.000,Benzin,599,Hečbek,33kW(45KS)
350,Smart ForTwo Cabrio Pulse oprema,Po dogovoru,,,2002,190.000,Benzin,599,Kabriolet/Roadster,45kW(61KS)
351,Smart ForTwo,2100,2100,1800 €,2002,124.000,Benzin,600,Kabriolet/Roadster,40kW(54KS)
352,Smart ForTwo,4100 €,,,2008,165.000,Benzin,999,Kupe,52kW(71KS)
353,Smart ForTwo,1750 €,,,2001,161.800,Benzin,599,Kabriolet/Roadster,45kW(61KS)
354,Smart ForTwo,12550 €,,,2018,45.000,Benzin,999,Kupe,52kW(71KS)
355,Smart ForTwo 450 CDI (može zamena),2000 €,,,2003,131.300,Dizel,799,Kupe,30kW(41KS)
356,Smart ForTwo 1.0i mhd cabrio,4700 €,,,2012,75.800,Benzin,999,Kabriolet/Roadster,52kW(71KS)
357,Smart ForTwo,4200 €,,,2008,110.000,Benzin,999,Kabriolet/Roadster,52kW(71KS)
358,Smart ForTwo Reg (može zamena),1600 €,,,2002,156.800,Benzin,599,Kupe,40kW(54KS)
359,Smart ForTwo,3500 €,,,2011,175.000,Benzin,1000,Kupe,52kW(71KS)
360,Smart ForFour 1.5 CDI Leather,2500 €,,,2005,146.000,Dizel,1493,Hečbek,70kW(95KS)
361,Smart ForTwo  (može zamena),1660 €,,,2003,134.000,Benzin,600,Kupe,45kW(61KS)
362,Smart ForFour  (može zamena),2500 €,,,2006,235.000,Dizel,1500,Hečbek,70kW(95KS)
363,Smart ForTwo,2100 €,,,2006,134.218,Benzin,698,Kupe,45kW(61KS)
